IDProduto,IDProdutoPai,NomeCat,CodProd,NomeProd,Descricao,Peso,Estoque,Preco,Disponivel,Lancamento,EmDestaque,IDsFiltroItem
6210866,,Acessórios,19085,Broca Sds Max M4 25x200x320mm Bosch 2608685868,"Potência e resistência profissional para sua ferramenta.
- Longa vida útil na perfuração em concreto
-  Metal de alta durabilidade
-  4 arestas, soldagem e têmpera a vácuo
-  Espiral dupla forma",0.98,2,190.42,False,False,False,154981
6210870,,Acessórios,451411,Broca SDS Plus 06x100x160mm Bosch 2608680263,"Apropriada para concreto e alvenaria.
Indicada para todos os martelos perfuradores com encaixe SDS-plus.
- Feita em metal duro;
- Com 2 arestas de corte.
- Espiral dupla forma de U",0.1,2,7,True,False,False,154981
6210873,,Acessórios,451412,Broca SDS Plus 08x100x160mm Bosch 2608680270,"Apropriada para concreto e alvenaria.
Indicada para todos os martelos perfuradores com encaixe SDS-plus.
- Feita em metal duro;
- Com 2 arestas de corte.
- Espiral dupla forma de U",0.1,5,8.36,True,False,False,154981
6210896,,Acessórios,451415,Broca SDS Plus 10x150x210mm Bosch 2608680274,"Apropriada para concreto e alvenaria.
Indicada para todos os martelos perfuradores com encaixe SDS-plus.
- Feita em metal duro;
- Com 2 arestas de corte.
- Espiral dupla forma de U",0.3,0,10.81,False,False,False,154981
6210901,,Acessórios,451418,Broca SDS Plus 12x150x210mm Bosch 2608680278,"Apropriada para concreto e alvenaria.
Indicada para todos os martelos perfuradores com encaixe SDS-plus.
- Feita em metal duro;
- Com 2 arestas de corte.
- Espiral dupla forma de U.",0.3,0,12.17,False,False,False,154981
6211042,,Acessórios,277584,Brocas para concreto CYL-1 Conjunto de 5 brocas Bosch 2608590090,"Jogo de brocas para concreto e pedra CYL-1
Para trabalhar concreto, pedras artificiais e alvenaria.",0.14,2,27.02,True,False,False,154981
6212969,,Acessórios,453368,Disco de Serra Circular ECO 184mm 40 dentes Bosch 2608644330,"Disco para Serra Circular 184mm Bosch Eco 40 dentes.
Qualidade de corte adequada ao trabalho na obra.
Durabilidade.
Referência em qualidade no mercado de construção civil.",0.34,0,0,True,False,False,154981
6212971,,Acessórios,454169,Disco de Serra Circular ECO 184mm 60 dentes Bosch 2608644331,"Disco para Serra Circular 184mm Bosch Eco 60 dentes.
Qualidade de corte adequada ao trabalho na obra.
Durabilidade.
Referência em qualidade no mercado de construção civil.",0.34,0,62.54,True,False,False,154981
6212973,,Acessórios,454170,Disco de Serra Circular ECO 254mm 40 Dentes Bosch 2608644335,"Disco para Serra Circular 254mm Bosch Eco 40 dentes.
Qualidade de corte adequada ao trabalho na obra.
Durabilidade.
Referência em qualidade no mercado de construção civil.",0.86,2,130.96,True,False,False,154981
6214621,,Acessórios,454957,Jogo de Bit 25 Peças Bosch 2607017404,"Jogo de pontas
Forjados em aço de alta resistência
Tirando a tampa da embalagem se transforma em cabo adaptador para bit",0.235,1,42.29,True,False,False,154981
6214623,,Acessórios,452330,Jogo de Bits e Soquetes 46 Peças Bosch  2607019504,"Kit promoline reuni uma variedade de acessórios para resolver necessidades de trabalho do dia-a-dia;
- Parafusadeira manual com punho magnético universal;
- Estojo plástico com 46 unidades.",0.88,10,117.67,False,False,False,154981
6214691,,Acessórios,453195,Jogo de Pontas e Chaves soquete 43 peças Bosch 2607017164,"Conjunto de pontas e chaves de caixa de 43 unidades
Conjunto de 43 pontas de aparafusar com suporte universal de aperto rápido e suporte universal magnético.",0.66,0,118.91,False,False,False,154981
6214697,,Acessórios,18654,Lâminas de Serra Tico Tico T111C Para Madeira com 5 Peças Bosch 2608667300,"Lâmina de aço rápido com carbono, cruzado e fresado;
 Para madeira macia (4 a 50mm), placas de aglomerado e de fibras, corte rápido.",0.04,2,20.14,True,False,False,154981
6214701,,Acessórios,18680,Lâminas de Serra Tico Tico HSS T118B Para Metal com 5 Peças Bosch 2608668146,"Lâmina de aço de corte rápido totalmente temperado;
 Utilização em materiais mais duros, como metal, alumínio e metais não ferrosos;
 Para chapas médias de metal (2,5 a 6mm).",0.03,2,23.06,True,False,False,154981
6214702,,Acessórios,18678,Lâminas de Serra Tico Tico HSS T118A Para Metal com 5 Peças Bosch 2608668145,"Lâmina de aço de corte rápido totalmente temperado;
 Utilização em materiais mais duros, como metal, alumínio e metais não ferrosos;
 Chapas finas de metal (1 a 3mm).",0.03,0,22.62,True,False,False,154981
6214726,,Acessórios,306492,Mandril 1/2 Pol. com Furo - Bosch 9617085001,"Mandril 1/2"" 9617085001 Bosch é ideal para furar aço, alumínio, madeira com brocas de haste cilíndrica.",0.36,0,29.77,True,False,False,154981
6215641,,Acessórios,453800,Ponteira de Aço 400mm SDS Max Bosch 2608690235,"Cinzel pontiagudo SDS-Max,  400 mm",0.72,1,32.94,True,False,False,154981
6215645,,Acessórios,455193,Ponteira de Aço 250mm SDS Plus Bosch 2608578517,Cinzelamento padrão em concreto e tijolo para vários trabalhos de renovação.,0.24,5,14.81,True,False,False,154981
6215823,,Acessórios,18783,Talhadeira SDS Max 25x400mm Bosch  2608690237,Talhadeira 25 X 400MM SDS MAX 2608690237,0.7,0,32.94,True,False,False,154981
6215824,,Acessórios,455194,Talhadeira SDS Plus 20x250mm Bosch 2608578519,Talhadeira 20 X 250M SDS PLUS,0.24,5,14.81,True,False,False,154981
6216330,,Acessórios,453703,"Filtro de Papel para Aspiradores NT 20/1, A2104 e A 2214 (3 unidades) - Karcher 93022390","Kit com 3 unidades do filtro de papel para os aspiradores de pó Karcher modelos NT 20/1, A2104 e A22414.",0.17,2,41.26,True,False,False,154984
6216338,,Acessórios,453784,Filtro Permanente para Aspirador NT 20/1 Karcher 57316040,Pode ser utilizado tanto na sucção de líquidos quanto pó. Mas cuidado: a remoção do filtro permanente pode prejudicar a turbina do equipamento e acarretar perda da garantia.,0.01,2,8.6,True,False,False,154984
6216343,,Acessórios,453690,Tubo prolongador para aspirador de pó  NT20/1 A2003 A2004 A2114  Karcher 69020970,"Tubo prolongador para aspirador de pó A 2114
Compatível com / Linha: A 2114",0.11,1,13.83,True,False,False,154984
6216370,,Acessórios,453674,Aplicador de Detergente - Karcher 93020540,"Aplicador que pode ser acoplado … lavadora de alta pressão no lugar da tubeira para a aplicação do detergente para limpeza do seu veículo, pisos, etc.",0.24,0,36.49,True,False,False,154984
6216466,,Acessórios,453691,Bico Turbo Simples  04 P/HD585 HD5/12 HD6/15 HD7/15 HD10/25 Karcher 93024940,"Bico Turbo Simples 04 
Bico Turbo 041",0.55,0,282.01,True,False,False,154984
6216469,,Acessórios,454331,Mangueira de alta pressão 5/16 de 10 metros para lavadora - Karcher 638910,Compatível com todos os modelos de Lavadoras de Alta Pressão Profissionais HD e HDS.,2.85,0,400.16,False,False,False,154984
6216474,,Acessórios,453673,Detergente desengraxante automotivo com 5 litros - Karcher 93810570,"Detergente, desengraxante, constituído de matérias-primas nobres, sem solda c ustica e componentes derivados do petróleo.",5.9,1,146.22,True,False,False,154984
6217055,,Acessórios,453675,"Mangueira de Alta Pressão HD 585  7,5 metros - Karcher 63895650","Item de reposição para Lavadoras de Alta Pressão KŽRCHER.
Aplicação: para lavadoura HD 585.",0.83,0,0,False,False,False,154984
6217057,,Acessórios,454851,Pistola com Mangueira HD585 / HD6/11 REPOS - Karcher 93118490,"Para reposição da pistola e mangueira de alta pressão nas Lavadoras de Alta Pressão Profissionais modelos: HD 585, HD 5/11, HD 5/12",1.88,0,421.35,True,False,False,154984
6217062,,Acessórios,454373,Detergente para Limpeza de Piso 5 Litros Floor Care RM755 Karcher 93810610,"Uso em conjunto com lavadoras e secadoras de piso ou manualmente.
Detergente de baixa espumação indicado para limpezas arraigadas em pisos vinílicos, cerâmicos, granilitos e pedras em geral.",5.57,1,107.16,True,False,False,154984
6217228,,Acessórios,453672,Detergente em Pó para Extratora 800G - RM 760 - Karcher 93811710,"O Detergente RM760 ‚ um produto em pó, recomendado para uso com as extratoras Karcher ideal para limpeza de tapetes, sof s, bancos de carros, “nibus, carpetes etc, realiza limpeza profunda.",0.8,0,70.03,True,False,False,154984
6217462,,Acessórios,453331,"Boina de lã para polimento 8"" Vonder  6099000008","Produzida em lã de carneiro, proporcionando maior durabilidade",0.06,0,25.07,False,False,False,154994
6218173,,Acessórios,454786,Suporte para arame MIG de 15 kg Vonder  6899150150,Indicado para adaptar rolo de arame MIG com 15 kg na máquina minimig MM 150 Vonder,5.65,0,0,False,False,False,154994
6218350,,Acessórios,450187,Niples com Porcas Gás Oxigênio Condor 911305,Acessórios destinados a unir as mangueiras aos reguladores e maçaricos.,0.07,2,24.05,True,False,False,155007
6219145,,Acessórios,369811,Mangueira Alta Pressão 1/2 20m - Tramontina 79180526,"Cuidar do jardim tem que ser uma atividade prazerosa. Por isso, nada como ter uma mangueira totalmente adequada e resistente.",3.8,0,0,False,False,False,154983
6219161,,Acessórios,23210,Centelhador CG - Carbografite 10000110,Utilizado para o acendimento de maçaricos e fogões a gás.,0.05,10,12.61,True,False,False,155014
6219163,,Acessórios,23209,Limpador de Bico 13 Agulhas e Lima Carbografite 10149710,"Utilizado para a limpeza de bicos de corte e extensões de solda, não provocando o desgaste exagerado dos furos, pois não possui arestas cortantes como as brocas helicoidais.",0.03,10,9.65,True,False,False,155014
6219164,,Acessórios,370780,Adaptador SDS Plus p/ Mandril de 1/2 P HTOM 17257,"Com este adaptador, é possível utilizar mandril comum em marteletes ou furadeiras de encaixe SDS Plus.",0.5,1,6.42,False,False,False,154998
6252725,,Acessórios,454808,Filtro de água p/ Lavadora de Alta Pressão Karcher 47300590,"O filtro de  água protege as bombas da lavadora de pressão contra partículas de sujeira na água.
",0.1,1,23.79,True,False,False,154984
6279623,,Acessórios,455142,Jogo de Pontas e Brocas Titan. X-Line 30 pçs Bosch 2607019324,"Conjunto pensado para trabalhos de perfuração precisos e limpos em metal, pedra, madeira e ainda pontas aparafusadoras de grande qualidade para os formatos mais comuns de cabeça de parafuso.",0.5,1,85.05,True,False,False,154981
6279625,,Acessórios,455141,"Jogo de Pontas, Brocas e Bits X Line 43 Pçs sextavadas Bosch 2607019613",Conjunto básico com equipamento de alta qualidade em mala robusta. Estão incluídos todos os componentes de perfuração e aparafusamento convencionais necessários para trabalhos em madeira e metal.,0.766,2,118.22,True,False,False,154981
6284375,,Acessórios,19097,Broca Sds Max M4 25x400x520mm Bosch 2608685869,"Potência e resistência profissional para sua ferramenta.
- Longa vida útil na perfuração em concreto
-  Metal de alta durabilidade
-  4 arestas, soldagem e têmpera a vácuo
-  Espiral dupla forma
",1.03,1,224.84,True,False,False,154981
6284412,,Acessórios,453001,Jogo de Pontas e Brocas V-Line 41 pçs Bosch 2607017316,"Jogo de Acessórios com Brocas e Pontas para fixar e aparafusar com 41 peças Bosch V Line, a Bosch lança a linha V Line composta por uma linha de acessórios que juntam praticidade e custo benefício.
",0.922,0,43.3,False,False,False,154981
6284440,,Acessórios,454905,Jogo de Pontas e Brocas V-Line 41 pçs Bosch 2607017396,"Kit de Brocas e Bits 41 Peças Com Parafusadeira - Bosch V-LINE com 41 peças , ponteira em H, fabricadas em aço carbono, mais resistente para lidar com trabalhos de bricolagem.
",0.85,2,92.02,True,False,False,154981
6297433,,Acessórios,451414,Broca SDS Plus 10x150x160mm Bosch 2608680273,"Apropriada para concreto e alvenaria.
Indicada para todos os martelos perfuradores com encaixe SDS-plus.
- Feita em metal duro;
- Com 2 arestas de corte.
- Espiral dupla forma de U.",0.72,5,9.98,True,False,False,154981
6297434,,Acessórios,451417,Broca SDS Plus 12x150x160mm Bosch 2608680277,"Apropriada para concreto e alvenaria.
Indicada para todos os martelos perfuradores com encaixe SDS-plus.
- Feita em metal duro;
- Com 2 arestas de corte.
- Espiral dupla forma de U.",0.85,5,11.07,True,False,False,154981
6406432,,Acessórios,454970,Serra Copo Diamantada 19M 3/4 com Hast Starrett DE019M,Serra Copo Diamantada com Haste Caracterísitcas Linha completa de diâmetros de 14 a 152mm. Diamante industrial - alta performance. Haste de 150mm com encaixe hexagonal.,0.27,1,36.09,True,True,False,154986
6406434,,Acessórios,454971,Serra Copo Diamantada 25M 1 com Haste Starrett DE025M,"Serra Copo Diamantada com Haste Caracterísitcas Linha completa de diâmetros de 14 a 152mm. Diamante industrial - alta performance. Haste de 150mm com encaixe hexagonal.

",0.27,1,42.99,True,True,False,154986
6406435,,Acessórios,454972,Serra Copo Diamantada 35M 1.3/8 com Haste Starrett DE035M,Serra Copo Diamantada com Haste Caracterísitcas Linha completa de diâmetros de 14 a 152mm. Diamante industrial - alta performance. Haste de 150mm com encaixe hexagonal.,0.395,1,57.29,True,True,False,154986
6406436,,Acessórios,454973,Serra Copo Diamantada 50M 1.31/32 com Haste Starrett DE050M,Serra Copo Diamantada com Haste Caracterísitcas Linha completa de diâmetros de 14 a 152mm. Diamante industrial - alta performance. Haste de 150mm com encaixe hexagonal,0.395,2,76.72,True,True,False,154986
6406437,,Acessórios,454974,Serra Copo Diamantada 65M 2.9/16 com Haste Starrett DE065M,"Serra Copo Diamantada com Haste Caracterísitcas Linha completa de diâmetros de 14 a 152mm. Diamante industrial - alta performance. Haste de 150mm com encaixe hexagonal,",0.395,1,114.71,True,True,False,154986
6407164,,Acessórios,453471,Kit de Serra Copo Deep Cut - KDC 12 peças Starrett KDC09041-S,"kits de serras copo foi projetado para atender todo o mercado, incluindo eletricistas, encanadores, carpinteiros, engenheiros de instalação e profissionais da indústria.",2.194,1,582.14,True,True,False,154986
6407389,,Acessórios,453500,Kit de Serra Copo Deep Cut - KDC 14 peças Starrett KDC11042-S,"Kit de serras copo foi projetado para atender todo o mercado, incluindo eletricistas, encanadores, carpinteiros, engenheiros de instalação e profissionais da indústria.
",2.477,1,0,True,True,False,154986
6550212,,Acessórios,144740,Broca Aço Rápido Haste Cônica  1.15/32 H. Fischer,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",1.515,1,310,True,False,True,323910
6550213,,Acessórios,190313,Broca Aço Rápido Haste Cônica  12.00 H. Fischer,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.105,1,36.11,True,False,True,323910
6550214,,Acessórios,144658,Broca Aço Rápido Haste Cônica  9/16  H. Fischer,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.13,1,47.26,True,False,True,323910
6550215,,Acessórios,190454,Broca Aço Rápido Haste Cônica  1/4 -Twill 42212,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.07,1,28.84,True,False,True,323911
6550216,,Acessórios,57538,Broca Aço Rápido Haste Cônica  10.50 -Twill 41967,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.105,2,36.11,True,False,True,323911
6550217,,Acessórios,57551,Broca Aço Rápido Haste Cônica  11.50 -Twill 41979,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.09,2,36.11,True,False,True,323911
6550218,,Acessórios,19915,Broca Aço Rápido Haste Cônica  11.70 -Twill 41981,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.105,3,36.11,True,False,True,323911
6550219,,Acessórios,57563,Broca Aço Rápido Haste Cônica  12.50 -Twill 41992,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.105,1,38.05,True,False,True,323911
6550220,,Acessórios,56321,Broca Aço Rápido Haste Cônica  15/32 -Twill 42225,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.105,1,36.11,True,False,True,323911
6550221,,Acessórios,56369,Broca Aço Rápido Haste Cônica  17/32 -Twill 42229,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.12,1,40.71,True,False,True,323911
6550222,,Acessórios,120556,Broca Aço Rápido Haste Cônica  2.13/16 -Twill 42335,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",5.61,1,2049,True,False,True,323911
6550223,,Acessórios,57354,Broca Aço Rápido Haste Cônica  2.5/32 -Twill 42321,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",3.965,1,731.64,True,False,True,323911
6550224,,Acessórios,56370,Broca Aço Rápido Haste Cônica  35/64 -Twill 42230,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.13,2,40.71,True,False,True,323911
6550225,,Acessórios,56394,Broca Aço Rápido Haste Cônica  37/64 -Twill 42232,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.225,1,27.01,True,False,True,323911
6550226,,Acessórios,56450,Broca Aço Rápido Haste Cônica  43/64 -Twill 42238,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.27,2,53.8,True,False,True,323911
6550227,,Acessórios,119281,Broca Aço Rápido Haste Cônica  5/16 -Twill 42215,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.08,1,30.54,True,False,True,323911
6550228,,Acessórios,190417,Broca Aço Rápido Haste Cônica  7.50 -Twill 41931,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.075,3,90.31,True,False,True,323911
6550229,,Acessórios,190466,Broca Aço Rápido Haste Cônica  1/4 LONGA-Dormer,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.06,1,28.84,True,False,True,323912
6550230,,Acessórios,120490,Broca Aço Rápido Haste Cônica  2.15/32 -Dormer,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",4.705,1,1651,True,False,True,323912
6550231,,Acessórios,57391,Broca Aço Rápido Haste Cônica  2.9/32 -Dormer,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",4.11,2,795.37,True,False,True,323912
6550232,,Acessórios,56290,Broca Aço Rápido Haste Cônica  27/64 -Dormer,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.105,4,36.11,True,False,True,323912
6550233,,Acessórios,20188,Broca Aço Rápido Haste Cônica  3/16 -Dormer,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.05,1,28.84,True,False,True,323912
6550234,,Acessórios,190429,Broca Aço Rápido Haste Cônica  5.00 -Dormer,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.05,3,28.84,True,False,True,323912
6550235,,Acessórios,119717,Broca Aço Rápido Haste Cônica  1/4  -Twill,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.07,3,28.84,True,False,True,323911
6550236,,Acessórios,120650,Broca Aço Rápido Haste Cônica  10.70 -Twill,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.9,1,36.11,True,False,True,323911
6550237,,Acessórios,120661,Broca Aço Rápido Haste Cônica  11.00 -Twill,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.95,6,36.11,True,False,True,323911
6550238,,Acessórios,201055,Broca Aço Rápido Haste Cônica  12.80MM -Twill,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.105,1,38.05,True,False,True,323911
6550239,,Acessórios,119428,Broca Aço Rápido Haste Cônica  17/32 -Twill,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.135,1,40.71,True,False,True,323911
6550240,,Acessórios,121264,Broca Aço Rápido Haste Cônica  41.00 -Twill,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",1.835,1,397.92,True,False,True,323911
6550241,,Acessórios,121368,Broca Aço Rápido Haste Cônica  46.00 -Twill,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",2.14,1,476,True,False,True,323911
6550242,,Acessórios,121424,Broca Aço Rápido Haste Cônica  49.00 -Twill,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",2.335,1,534.37,True,False,True,323911
6550243,,Acessórios,121504,Broca Aço Rápido Haste Cônica  53.00 -Twill,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",3.795,1,680,True,False,True,323911
6550244,,Acessórios,120636,Broca Aço Rápido Haste Cônica  9.50 -Twill,"Desenvolvidas para furar uma ampla gama de materiais, proporcionando desempenho eficiente com excelente relação custo-benefício.
Ideal para quem necessita versatilidade de aplicação a um baixo custo",0.08,1,15,True,False,True,323911
6578475,,Acessórios,,Kit de Serra Copo Deep Cut - KDC 13 peças Starrett KDC10041-S,"Nossa extensa linha de kits de serras copo foi projetada para atender todo o mercado, incluindo eletricistas, encanadores, carpinteiros, engenheiros de instalação e profissionais da indústria.",0.95,1,0,True,False,False,154986
6581518,,Acessórios,455139,Kit de Serra Copo Fast Cut - KFC 10 peças Starrett KFC06041-S,Kit de Serra Copo Fast Cut,0.95,1,344.38,True,False,False,154986
6582880,,Acessórios,454168,Disco de Serra Circular ECO 184mm 24 Dentes Bosch 2608644329,"Disco de serra com dentes de wídea para cortes de madeira na estrutura da construção. Ideal para cortes rústicos em tapumes, caixaria para baldrames, vigas, pilares e madeiras para escoramento.",0,1,39.53,True,False,False,
6139879,,Alicates,450314,"Alicate bomba-d'água isolado 1.000 V 12"" - Tramontina 44039112","O alicate bomba-d'água ‚ a ferramenta que não pode faltar na manutenção de redes elétricas e instalações hidr ulicas, sendo tamb‚m muito utilizado em serviços de mecânica.",0.84,2,89.8,True,False,False,154983
6139887,,Alicates,368513,Alicate Corte Diagonal 6 Pol Aço Cromo -Tramontina 44002106,"O alicate diagonal da Tramontina PRO ‚ utilizado no corte de fios e arames. Para garantir maior resistência e durabilidade, recebe tratamento térmico especial no gume de corte.",0.23,6,40.24,True,False,True,154983
6139896,,Alicates,359307,Alicate Crimpador 9 Pol Com Regulagem - Tramontina 44055101,"O alicate crimpador da Tramontina PRO permite crimpar terminais com qualidade e rapidez. Suas mandíbulas podem ser trocadas, conferindo versatilidade ao produto.",0.54,0,0,True,False,False,154983
